fact_id,country_id,year,rural_population,urban_population,population_male,population_female,created_at,updated_at
195,8,1997,0.0,10303.0,5007.0,5125.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
196,8,1998,0.0,10548.0,5143.0,5274.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
197,8,1999,0.0,10793.0,5287.0,5434.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
198,8,2000,0.0,11070.0,5444.0,5604.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
199,8,2001,0.0,11372.0,5588.0,5755.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
200,8,2002,0.0,11692.0,5694.0,5867.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
201,8,2003,0.0,12021.0,5783.0,5961.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
202,8,2004,0.0,12339.0,5878.0,6056.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
203,8,2005,0.0,12638.0,5971.0,6157.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
204,8,2006,0.0,12903.0,6065.0,6260.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
205,8,2007,0.0,13150.0,6159.0,6366.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
206,8,2008,0.0,13360.0,6256.0,6474.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
207,8,2009,0.0,13565.0,6361.0,6585.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
208,8,2010,0.0,13769.0,6470.0,6702.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
209,8,2011,0.0,13951.0,6552.0,6790.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
210,8,2012,0.0,14129.0,6606.0,6849.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
211,8,2013,0.0,14299.0,6731.0,6970.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
212,8,2014,0.0,14459.0,6944.0,7176.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
213,8,2015,0.0,14611.0,7148.0,7378.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
214,8,2016,0.0,14764.0,7292.0,7521.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
215,8,2017,0.0,14909.0,7386.0,7628.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
216,8,2018,0.0,15045.0,7461.0,7720.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
217,8,2019,0.0,15174.0,7551.0,7828.0,2025-10-17 04:40:53.557548,2025-10-17 04:40:53.557548
